as_of,eps,revenue,available_at
2024-03-31 00:00:00+00:00,-2.51,,2024-05-15 00:00:00+00:00
2024-06-30 00:00:00+00:00,-0.6,2364000.0,2024-08-14 00:00:00+00:00
2024-09-30 00:00:00+00:00,-0.78,2910000.0,2024-11-14 00:00:00+00:00
2024-12-31 00:00:00+00:00,,2738000.0,2025-02-14 00:00:00+00:00
2025-03-31 00:00:00+00:00,-0.52,2926000.0,2025-05-15 00:00:00+00:00
2025-06-30 00:00:00+00:00,-0.5,4015000.0,2025-08-14 00:00:00+00:00
